image_name,mean_T,max_T,std_T,var_T,hotspot_ratio,gradient_mean,R_label,Q_score,Q_label
FLIR0013_jpg.rf.0119080546aa760cfdfc84d2738c0370.jpg,134.5926971024259,159,11.243720120710147,126.42124215286222,0.0423896563342318,2.929108406334232,4,1.197077156334232,2
FLIR0013_jpg.rf.0b1598ae9baf8a94b6d21204603c6277.jpg,134.5137762569722,163,11.503468935760866,132.32979755601522,0.0464713794058309,3.4055243482732704,4,1.3900925669528068,3
FLIR0013_jpg.rf.0fb2117eb0c212e3b4b7d441acb2dad3.jpg,134.5924732880678,160,11.356561412420085,128.97148711406885,0.0464656034528133,3.1574609189957368,4,1.2908637296699828,3
FLIR0013_jpg.rf.272e2cf2aaed95ac8a10d9cb76aaff4f.jpg,134.56824210526315,159,11.341742921119025,128.6351324887535,0.046178947368421,3.1510526315789478,4,1.2881284210526318,2
FLIR0013_jpg.rf.285e8dfc6b2171049ac2f9cedee470cf.jpg,134.4580100119002,161,11.343126287225072,128.66651396793645,0.0399197474404744,2.882787989653714,4,1.1770670443257703,2
FLIR0013_jpg.rf.3bd3f76f493d759c67ee1a9fa90db7bb.jpg,134.53960747221566,164,11.253067147976738,126.63152023687331,0.0401986285173799,2.6754453377473,4,1.094297312209348,1
FLIR0013_jpg.rf.665592ee6398f2ffb1b933a948e137d2.jpg,134.58774031322392,162,11.315767149957248,128.04658619205156,0.0431326350802859,2.852871879145465,4,1.1670283327063575,2
FLIR0013_jpg.rf.68ba86571cf508f73a3d48d66f74a360.jpg,134.56312013282206,160,11.226612181894176,126.03682108265468,0.0403901648416808,2.703314622287228,4,1.1055599478198999,1
FLIR0013_jpg.rf.6b9cf165d7b9edf79c46cce348afe334.jpg,134.50607115731745,161,11.331076024880494,128.39328388162153,0.040747280062339,2.6922894822501258,4,1.1013641609374538,1
FLIR0013_jpg.rf.6ccb9e8aa336f745a3dbb56ae5e980ae.jpg,134.5236456505019,166,11.354104983643122,128.9156999795896,0.0423215729583686,2.8533141380874434,4,1.1667185990099984,2
FLIR0013_jpg.rf.75343799c885195b5c55f2137cc6774b.jpg,134.6028043286033,159,11.350023559013817,128.82303479016866,0.0453598046233525,3.154564402711693,4,1.2890416438586887,3
FLIR0013_jpg.rf.7a54d2e9727054b17c0cdcea8331f30b.jpg,134.5046494169461,169,11.448589327562146,131.0701975911699,0.0434913167509133,3.131785195936139,4,1.2788088684250036,2
FLIR0013_jpg.rf.7f84ce8063117a1d71e438639729a487.jpg,134.48823552595277,161,11.306198480519123,127.83012408089296,0.0408899223584124,2.8608658810546643,4,1.1688803058369133,2
